Tipo de Paralelização;Número de Threads;Tamanho da Entrada;Tempo de Computação Paralela (s);Tempo de I/O (s);Tempo Total (s);Média  da Computação Paralela;Intervalo de confiança;alfa;Desv.Padrão;tamanho;;;;;
OMP;4;4096;4.606.772;0,340601;4.947.389;;;;;;;;;;
OMP;4;4096;4.607.425;0,332804;4.940.249;;;;;;;;;;
OMP;4;4096;4.594.483;0,390409;4.984.910;;;;;;;;;;
OMP;4;4096;4.611.288;0,33481;4.946.122;;;;;;;;;;
;;;;;;;;;;;;;;;
OMP;4;8192;18.325.727;1.478.340;19,804085;#DIV/0!;;;;;;;;;
OMP;4;8192;18.371.965;1.451.591;19,823577;;;;;;;;;;
OMP;4;8192;18.325.781;1.473.320;19,799121;;;;;;;;;;
OMP;4;8192;18.325.710;1.412.374;19,738107;;;;;;;;;;
OMP;4;8192;18.378.816;1.482.376;19,861212;;;;;;;;;;
OMP;4;8192;18.342.782;1.461.864;19,804668;;;;;;;;;;
OMP;4;8192;18.390.424;1.456.090;19,846538;;;;;;;;;;
OMP;4;8192;18.340.381;1.453.824;19,794222;;;;;;;;;;
OMP;4;8192;18.375.453;1.459.515;19,834991;;;;;;;;;;
OMP;4;8192;18.403.653;1.457.336;19,861008;;;;;;;;;;
OMP;;;;;;;;;;;;;;;
OMP;8;16;0,001556;0,000044;0,001605;0,002593;0,008875728;;0,014320425;;;;;;
OMP;8;16;0,003814;0,000067;0,003887;;;;;;;;;;
OMP;8;16;0,004754;0,000054;0,004814;;;;;;;;;;
OMP;8;16;0,000536;0,000042;0,000584;;;;;;;;;;
OMP;8;16;0,000175;0,000049;0,000229;;;;;;;;;;
OMP;8;16;0,000513;0,000055;0,000574;;;;;;;;;;
OMP;8;16;0,000146;0,000049;0,0002;;;;;;;;;;
OMP;8;16;0,000319;0,000055;0,00038;;;;;;;;;;
OMP;8;16;0,009425;0,000053;0,009485;;;;;;;;;;
OMP;8;16;0,00469;0,000042;0,004738;;;;;;;;;;
OMP;;;;;;;;;;;;;;;
OMP;8;32;0,000831;0,000062;0,000899;0,002502;;;;;;;;;
OMP;8;32;0,000244;0,000062;0,000311;;;;;;;;;;
OMP;8;32;0,000516;0,000057;0,000578;;;;;;;;;;
OMP;8;32;0,004911;0,00007;0,004986;;;;;;;;;;
OMP;8;32;0,009571;0,000079;0,009657;;;;;;;;;;
OMP;8;32;0,002947;0,000055;0,003008;;;;;;;;;;
OMP;8;32;0,000248;0,000057;0,00031;;;;;;;;;;
