Tipo de Paralelização;Número de Threads;Tamanho da Entrada;Tempo de Computação Paralela (s);Tempo de I/O (s);Tempo Total (s);Média  da Computação Paralela;Intervalo de confiança;alfa;Desv.Padrão;tamanho
omp;16;32;0,000424;0,000086;0,000519;;;;;
omp;16;32;0,000476;0,000087;0,000573;;;;;
omp;16;32;0,000292;0,000087;0,000386;;;;;
\n;;;;;;;;;;
omp;16;64;0,000932;0,000164;0,001105;0,001087;;;;
omp;16;64;0,001299;0,000160;0,001468;;;;;
omp;16;64;0,001390;0,000167;0,001567;;;;;
omp;16;64;0,000903;0,000166;0,001079;;;;;
omp;16;64;0,000856;0,000165;0,001031;;;;;
omp;16;64;0,001398;0,000173;0,001582;;;;;
omp;16;64;0,001156;0,000181;0,001347;;;;;
omp;16;64;0,000912;0,000106;0,001025;;;;;
omp;16;64;0,001252;0,000100;0,001358;;;;;
omp;16;64;0,000768;0,000169;0,000947;;;;;
\n;;;;;;;;;;
omp;16;128;0,004602;0,000278;0,004887;0,002345;;;;
omp;16;128;0,001958;0,000274;0,002238;;;;;
omp;16;128;0,002490;0,000280;0,002777;;;;;
omp;16;128;0,001557;0,000308;0,001872;;;;;
omp;16;128;0,002512;0,000495;0,003018;;;;;
omp;16;128;0,001717;0,000308;0,002032;;;;;
omp;16;128;0,001581;0,000310;0,001897;;;;;
omp;16;128;0,002181;0,000309;0,002497;;;;;
omp;16;128;0,001798;0,000283;0,002087;;;;;
omp;16;128;0,003056;0,000533;0,003600;;;;;
\n;;;;;;;;;;
omp;16;256;0,005041;0,001270;0,006319;0,005256;;;;
omp;16;256;0,004348;0,001119;0,005476;;;;;
omp;16;256;0,004954;0,001075;0,006036;;;;;
omp;16;256;0,006050;0,001005;0,007062;;;;;
omp;16;256;0,005916;0,000996;0,006920;;;;;
omp;16;256;0,006318;0,002445;0,008774;;;;;
omp;16;256;0,005829;0,001738;0,007577;;;;;
omp;16;256;0,005729;0,001769;0,007508;;;;;
omp;16;256;0,004766;0,001302;0,006084;;;;;
omp;16;256;0,003604;0,001122;0,004732;;;;;
