Tipo de Paralelização;Número de Threads;Tamanho da Entrada;Tempo de Computação Paralela (s);Tempo de I/O (s);Tempo Total (s);Média  da Computação Paralela;in. conf. de Computação Paralela;Alfa;Desvio padrão;Tamanho;;;;;;;;;;;;;;;;
pth;2;16;0,000183;0,019650;0,019856;0,000143;0,01394;;0,065354;;;;;;;;;;;;;;;;;
pth;2;16;0,000134;0,000035;0,000176;;;;;;;;;;;;;;;;;;;;;
pth;2;16;0,000178;0,000069;0,000259;;;;;;;;;;;;;;;;;;;;;
pth;2;16;0,000147;0,000063;0,000220;;;;;;;;;;;;;;;;;;;;;
pth;2;16;0,000153;0,000060;0,000225;;;;;;;;;;;;;;;;;;;;;
pth;2;16;0,000141;0,000034;0,000181;;;;;;;;;;;;;;;;;;;;;
pth;2;16;0,000143;0,000036;0,000185;;;;;;;;;;;;;;;;;;;;;
pth;2;16;0,000145;0,000034;0,000186;;;;;;;;;;;;;;;;;;;;;
pth;2;16;0,000095;0,000034;0,000136;;;;;;;;;;;;;;;;;;;;;
pth;2;16;0,000114;0,000056;0,000181;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;;;;;
pth;2;32;0,000161;0,000073;0,000248;0,000209;;;;;;;;;;;;;;;;;;;;
pth;2;32;0,000153;0,000044;0,000204;;;;;;;;;;;;;;;;;;;;;
pth;2;32;0,000291;0,000079;0,000383;;;;;;;;;;;;;;;;;;;;;
pth;2;32;0,000240;0,000051;0,000298;;;;;;;;;;;;;;;;;;;;;
pth;2;32;0,000196;0,000049;0,000251;;;;;;;;;;;;;;;;;;;;;
pth;2;32;0,000161;0,000047;0,000215;;;;;;;;;;;;;;;;;;;;;
pth;2;32;0,000163;0,000074;0,000249;;;;;;;;;;;;;;;;;;;;;
pth;2;32;0,000197;0,000074;0,000281;;;;;;;;;;;;;;;;;;;;;
pth;2;32;0,000253;0,000073;0,000336;;;;;;;;;;;;;;;;;;;;;
pth;2;32;0,000272;0,000092;0,000376;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;;;;;
pth;2;64;0,000586;0,000094;0,000688;0,000592;;;;;;;;;;;;;;;;;;;;
pth;2;64;0,000411;0,000181;0,000603;;;;;;;;;;;;;;;;;;;;;
pth;2;64;0,000413;0,000238;0,000663;;;;;;;;;;;;;;;;;;;;;
pth;2;64;0,000683;0,000155;0,000848;;;;;;;;;;;;;;;;;;;;;
pth;2;64;0,000408;0,000154;0,000573;;;;;;;;;;;;;;;;;;;;;
pth;2;64;0,000770;0,000163;0,000946;;;;;;;;;;;;;;;;;;;;;
pth;2;64;0,000677;0,000160;0,000849;;;;;;;;;;;;;;;;;;;;;
pth;2;64;0,000689;0,000175;0,000877;;;;;;;;;;;;;;;;;;;;;
pth;2;64;0,000589;0,000101;0,000697;;;;;;;;;;;;;;;;;;;;;
pth;2;64;0,000693;0,000238;0,000945;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;;;;;
pth;2;128;0,002278;0,000462;0,002752;0,002251;;;;;;;;;;;;;;;;;;;;
pth;2;128;0,002075;0,000326;0,002408;;;;;;;;;;;;;;;;;;;;;
pth;2;128;0,002744;0,000525;0,003283;;;;;;;;;;;;;;;;;;;;;
pth;2;128;0,001396;0,000530;0,001940;;;;;;;;;;;;;;;;;;;;;
pth;2;128;0,001410;0,000746;0,002171;;;;;;;;;;;;;;;;;;;;;
pth;2;128;0,001799;0,000266;0,002072;;;;;;;;;;;;;;;;;;;;;
pth;2;128;0,002755;0,000512;0,003282;;;;;;;;;;;;;;;;;;;;;
pth;2;128;0,002774;0,000482;0,003270;;;;;;;;;;;;;;;;;;;;;
pth;2;128;0,002800;0,000299;0,003107;;;;;;;;;;;;;;;;;;;;;
pth;2;128;0,002479;0,000268;0,002753;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;;;;;
pth;2;256;0,006845;0,001077;0,007929;0,007812;;;;;;;;;;;;;;;;;;;;
pth;2;256;0,008286;0,000984;0,009282;;;;;;;;;;;;;;;;;;;;;
pth;2;256;0,005404;0,001903;0,007322;;;;;;;;;;;;;;;;;;;;;
pth;2;256;0,009543;0,001955;0,011512;;;;;;;;;;;;;;;;;;;;;
pth;2;256;0,008970;0,001073;0,010052;;;;;;;;;;;;;;;;;;;;;
pth;2;256;0,010063;0,001004;0,011080;;;;;;;;;;;;;;;;;;;;;
pth;2;256;0,007617;0,001488;0,009119;;;;;;;;;;;;;;;;;;;;;
pth;2;256;0,006762;0,002217;0,008992;;;;;;;;;;;;;;;;;;;;;
pth;2;256;0,009328;0,001955;0,011296;;;;;;;;;;;;;;;;;;;;;
pth;2;256;0,005303;0,001950;0,007269;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;;;;;
pth;2;512;0,026924;0,007554;0,034496;0,026504;;;;;;;;;;;;;;;;;;;;
pth;2;512;0,025145;0,004144;0,029307;;;;;;;;;;;;;;;;;;;;;
pth;2;512;0,028071;0,004131;0,032222;;;;;;;;;;;;;;;;;;;;;
pth;2;512;0,027642;0,007913;0,035577;;;;;;;;;;;;;;;;;;;;;
pth;2;512;0,028483;0,004593;0,033097;;;;;;;;;;;;;;;;;;;;;
pth;2;512;0,027740;0,007046;0,034809;;;;;;;;;;;;;;;;;;;;;
pth;2;512;0,024260;0,010776;0,035056;;;;;;;;;;;;;;;;;;;;;
pth;2;512;0,023373;0,011051;0,034443;;;;;;;;;;;;;;;;;;;;;
pth;2;512;0,026902;0,006957;0,033882;;;;;;;;;;;;;;;;;;;;;
pth;2;512;0,026498;0,005861;0,032379;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;;;;;
pth;2;1024;0,089469;0,019426;0,108921;0,087761;;;;;;;;;;;;;;;;;;;;
pth;2;1024;0,086653;0,020943;0,107613;;;;;;;;;;;;;;;;;;;;;
pth;2;1024;0,090816;0,020942;0,111778;;;;;;;;;;;;;;;;;;;;;
pth;2;1024;0,089031;0,017487;0,106541;;;;;;;;;;;;;;;;;;;;;
pth;2;1024;0,086964;0,023152;0,110140;;;;;;;;;;;;;;;;;;;;;
pth;2;1024;0,088773;0,022944;0,111740;;;;;;;;;;;;;;;;;;;;;
pth;2;1024;0,086784;0,020961;0,107765;;;;;;;;;;;;;;;;;;;;;
pth;2;1024;0,087877;0,022354;0,110252;;;;;;;;;;;;;;;;;;;;;
pth;2;1024;0,087969;0,019176;0,107166;;;;;;;;;;;;;;;;;;;;;
pth;2;1024;0,083274;0,018544;0,101841;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;;;;;
pth;2;2048;0,342001;0,083360;0,425380;0,343414;;;;;;;;;;;;;;;;;;;;
pth;2;2048;0,340905;0,076447;0,417375;;;;;;;;;;;;;;;;;;;;;
pth;2;2048;0,343394;0,087564;0,430979;;;;;;;;;;;;;;;;;;;;;
pth;2;2048;0,339569;0,085167;0,424758;;;;;;;;;;;;;;;;;;;;;
pth;2;2048;0,342900;0,088052;0,430972;;;;;;;;;;;;;;;;;;;;;
pth;2;2048;0,352907;0,085215;0,438138;;;;;;;;;;;;;;;;;;;;;
pth;2;2048;0,357574;0,081877;0,439476;;;;;;;;;;;;;;;;;;;;;
pth;2;2048;0,339141;0,084095;0,423258;;;;;;;;;;;;;;;;;;;;;
pth;2;2048;0,337285;0,079850;0,417158;;;;;;;;;;;;;;;;;;;;;
pth;2;2048;0,338465;0,089111;0,427604;;;;;;;;;;;;;;;;;;;;;
\n;;;;;;;;;;;;;;;;;;;;;;;;;;
pth;2;4096;1,342342;0,368673;1.711.049;1,342250;;;;;;;;;;;;;;;;;;;;
pth;2;4096;1,336382;0,387870;1.724.274;;;;;;;;;;;;;;;;;;;;;
pth;2;4096;1,333029;0,363786;1.696.836;;;;;;;;;;;;;;;;;;;;;
pth;2;4096;1,338199;0,350582;1.688.809;;;;;;;;;;;;;;;;;;;;;
pth;2;4096;1,341914;0,371504;1.713.444;;;;;;;;;;;;;;;;;;;;;
